Model Name,Best Epoch,Train ROC-AUC Micro,Train Balanced Accuracy,Val ROC-AUC Micro,Val Balanced Accuracy,Gap ROC-AUC Micro,Gap Balanced Accuracy,Model Type
DUMMY_Dummy_stratified_mfcc,,0.5095356969567728,0.5094734031404367,0.5079935448515975,0.508556770104196,0.0015421521051752,0.0009166330362406,DUMMY
HIST_GRADIENT_BOOSTING_HGBT_iter100_lr0.1_md5_embeddings,,0.997890267620304,0.935516748845726,0.9539672354095716,0.7573434964685146,0.0439230322107325,0.1781732523772113,HIST_GRADIENT_BOOSTING
RANDOM_FOREST_RF_ne50_md5_embeddings,,0.9878967816617872,0.9483970127826836,0.969758997939028,0.901276290556318,0.0181377837227592,0.0471207222263654,RANDOM_FOREST
SGD_SGD_losshinge_penaltyl1_alpha0.0001_iter1000_embeddings,,0.9809461616261232,0.8452840386898693,0.931875225468736,0.7723703309489331,0.0490709361573871,0.0729137077409362,SGD
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.001_e200_bs512_embeddings,6.0,,,0.9574521905808944,0.7779503495995369,,,TORCH_LOGISTIC_REGRESSION
