feature_key,NMI,ARI
embeddings,0.4390162493202548,0.1524460039146579
mfcc,0.1296179051045689,0.0200241283775952
mfcc_with_deltas,0.1294818613615213,0.0201489429371677
melspectrogram,0.1287739424305865,0.020038497053697
baseaudio,0.09380883244104472,0.02284783886197308

embeddings_plus_baseaudio,0.0938475863077371,0.0226017963929635
embeddings_plus_mfcc_with_deltas,0.3145557836219101,0.0942693919688842
embeddings_plus_melspectrogram,0.3151020614856876,0.0926324250984469
embeddings_plus_mfcc_with_deltas_plus_melspectrogram,0.2589048372480251,0.0712826512496986
embeddings_plus_mfcc_with_deltas_plus_melspectrogram_plus_baseaudio,0.0949274534376428,0.0230963090454398
